"Statistics For smkVrs27scteOutbandCueoutDuration Status: Active","2019-03-06 16:51:41
Job started"
"Statistics For smkVrs27scteOutbandCueoutDuration Status: completed","2019-03-06 16:52:07
Job completed.
2019-03-06 16:51:41
Job started"
"Statistics For SmkVrs28SctePerodic Status: failed","2019-03-06 16:52:38
job Crashed with status running - trying to restart the job. Restart Count: 2.
2019-03-06 16:52:36
Input stream:udp_1, Status:Switched
2019-03-06 16:52:35
Job started"
"Statistics For SmkVrs28SctePerodic Status: Active","2019-03-06 16:53:00
Job started"
"Statistics For smkVrs29InbandScte Status: Active","2019-03-06 16:53:21
Job started"
"Statistics For smkVrs29InbandScte Status: completed","2019-03-06 16:53:44
Job completed.
2019-03-06 16:53:21
Job started"
"Statistics For SmkVrs30MltProScteOotbndCueOuIn Status: Active","2019-03-06 16:54:09
Job started"
"Statistics For SmkVrs30MltProScteOotbndCueOuIn Status: completed","2019-03-06 16:54:35
Job completed.
2019-03-06 16:54:09
Job started"
"Statistics For smkVrs31MltProScteOotbndCueOuDurat Status: Active","2019-03-06 16:54:58
Job started"
"Statistics For smkVrs31MltProScteOotbndCueOuDurat Status: completed","2019-03-06 16:55:22
Job completed.
2019-03-06 16:54:58
Job started"
"Statistics For SmkVrs32MltProSctePerodic Status: failed_force_killed",""
"Statistics For smkVrs33MltProScteInband Status: Active","2019-03-06 16:56:19
Job started"
"Statistics For smkVrs33MltProScteInband Status: completed","2019-03-06 16:56:42
Job completed.
2019-03-06 16:56:19
Job started"
"Statistics For smkVrs4aBmdInMultiOut Status: Idle","2019-03-06 18:29:30
Output stream:udp_1, Status:Stream loss, Error:201
2019-03-06 18:29:30
Output stream:rtmp1, Status:Stream loss, Error:201
2019-03-06 18:29:30
Status:Idle, Error:302
2019-03-06 18:29:29
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:29:29
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:29:29
Input track:1_Audio, Status:Stream loss, Error:401"
"Statistics For smkVrs4bUnicastUdpMp4Out Status: Idle","2019-03-06 18:30:28
Status:Idle, Error:302
2019-03-06 18:30:27
Input stream:udp_1, Status:Stream loss, Error:101
2019-03-06 18:30:27
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:30:27
Job started
2019-03-06 18:30:27
Input track:1_Audio, Status:Stream loss, Error:401"
"Statistics For smkVrs4aBmdInMultiOut Status: Idle","2019-03-06 18:34:16
Output stream:udp_1, Status:Stream loss, Error:201
2019-03-06 18:34:16
Output stream:rtmp1, Status:Stream loss, Error:201
2019-03-06 18:34:13
Status:Idle, Error:302
2019-03-06 18:34:13
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:34:13
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:34:13
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:34:11
Job started"
